Altium Designer Pick and Place Locations,,,,,,,
F:\Documents\design\Antenny_v6\Project Outputs for Antenny_v6\Pick Place for Antenny_v6.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       19/07/21,,,,,,,
Time:       11:43,,,,,,,
Revision:   5f03b19acebd141ec5c24556813fb9cbdc4792db,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
MD1,ESP32-WROVER-IB (16MB),TopLayer,FP-ESP32-WROVER-MFG,59.7800mm,30.9450mm,270,"SMD MODULE, ESP32-D0WDQ6"
U6,ULN2003ADR,TopLayer,D0016A_M,42.5250mm,31.7000mm,180,"High-Voltage, High-Current Darlington Transistor Array, 0.5 A, 50 V, -20 to 70 degC, 16-Pin SOIC (D), Green (RoHS & no Sb/Br), Tape and Reel"
RN8,YC124_1K,TopLayer,YC124,33.8500mm,28.7500mm,0,
RN7,YC124_1K,TopLayer,YC124,33.8500mm,33.6750mm,0,
7,LED0603_BLUE,TopLayer,FP-LTST-C191TBKT-MFG,37.2750mm,25.1750mm,180,LED BLUE CLEAR CHIP SMD
6,LED0603_BLUE,TopLayer,FP-LTST-C191TBKT-MFG,37.2750mm,27.0625mm,180,LED BLUE CLEAR CHIP SMD
5,LED0603_BLUE,TopLayer,FP-LTST-C191TBKT-MFG,37.2750mm,28.9500mm,180,LED BLUE CLEAR CHIP SMD
4,LED0603_BLUE,TopLayer,FP-LTST-C191TBKT-MFG,37.2750mm,30.8375mm,180,LED BLUE CLEAR CHIP SMD
3,LED0603_BLUE,TopLayer,FP-LTST-C191TBKT-MFG,37.2750mm,32.7249mm,180,LED BLUE CLEAR CHIP SMD
2,LED0603_BLUE,TopLayer,FP-LTST-C191TBKT-MFG,37.2750mm,34.6124mm,180,LED BLUE CLEAR CHIP SMD
1,LED0603_BLUE,TopLayer,FP-LTST-C191TBKT-MFG,37.2750mm,36.4999mm,180,LED BLUE CLEAR CHIP SMD
R13,R0603_1K,TopLayer,RESC1609X55X30LL15T15,82.9750mm,38.8750mm,0,Res Thin Film 0603 1K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R
